# GENERATED by ./gradlew :conformance-icu:updateLedger. Reviewed by hand.
# icu=release-78.3  cldr=release-48-2
#
# Every row is a case where this library and ICU disagree and the
# disagreement is expected. A new one fails the build; a row that stops
# reproducing fails too. An ICU version bump regenerates this file, and
# the diff is the point rather than a nuisance.
#
# domain	locale	case	ours	icu	divergence	note
display-names	br-FR	script/Hans	eeunaet	sinalunioù (han) eeunaet	DEFECT	TODO: explain this divergence or reclassify it
display-names	br-FR	script/Hant	hengounel	sinalunioù (han) hengounel	DEFECT	TODO: explain this divergence or reclassify it
display-names	brx	script/Hans	गोरलै खालामना होनाय	गोरलै खालामना होनाय हान	DEFECT	TODO: explain this divergence or reclassify it
display-names	brx	script/Hant	आसार-खान्थिनि	आसार-खान्थिनि हान	DEFECT	TODO: explain this divergence or reclassify it
display-names	brx-IN	script/Hans	गोरलै खालामना होनाय	गोरलै खालामना होनाय हान	DEFECT	TODO: explain this divergence or reclassify it
display-names	brx-IN	script/Hant	आसार-खान्थिनि	आसार-खान्थिनि हान	DEFECT	TODO: explain this divergence or reclassify it
display-names	bs	script/Hans	pojednostavljeno	pojednostavljeno pismo han	DEFECT	TODO: explain this divergence or reclassify it
display-names	bs	script/Hant	tradicionalno	tradicionalno pismo han	DEFECT	TODO: explain this divergence or reclassify it
display-names	bs-Cyrl	script/Hans	поједностављени	поједностављени хан	DEFECT	TODO: explain this divergence or reclassify it
display-names	bs-Cyrl	script/Hant	традиционални	традиционални хан	DEFECT	TODO: explain this divergence or reclassify it
display-names	bs-Cyrl-BA	script/Hans	поједностављени	поједностављени хан	DEFECT	TODO: explain this divergence or reclassify it
display-names	bs-Cyrl-BA	script/Hant	традиционални	традиционални хан	DEFECT	TODO: explain this divergence or reclassify it
display-names	bs-Latn	script/Hans	pojednostavljeno	pojednostavljeno pismo han	DEFECT	TODO: explain this divergence or reclassify it
display-names	bs-Latn	script/Hant	tradicionalno	tradicionalno pismo han	DEFECT	TODO: explain this divergence or reclassify it
display-names	bs-Latn-BA	script/Hans	pojednostavljeno	pojednostavljeno pismo han	DEFECT	TODO: explain this divergence or reclassify it
display-names	bs-Latn-BA	script/Hant	tradicionalno	tradicionalno pismo han	DEFECT	TODO: explain this divergence or reclassify it
display-names	ca	script/Hans	simplificat	han simplificat	DEFECT	TODO: explain this divergence or reclassify it
display-names	ca	script/Hant	tradicional	han tradicional	DEFECT	TODO: explain this divergence or reclassify it
display-names	ca-AD	script/Hans	simplificat	han simplificat	DEFECT	TODO: explain this divergence or reclassify it
display-names	ca-AD	script/Hant	tradicional	han tradicional	DEFECT	TODO: explain this divergence or reclassify it
display-names	ca-ES	script/Hans	simplificat	han simplificat	DEFECT	TODO: explain this divergence or reclassify it
display-names	ca-ES	script/Hant	tradicional	han tradicional	DEFECT	TODO: explain this divergence or reclassify it
display-names	ca-FR	script/Hans	simplificat	han simplificat	DEFECT	TODO: explain this divergence or reclassify it
display-names	ca-FR	script/Hant	tradicional	han tradicional	DEFECT	TODO: explain this divergence or reclassify it
display-names	ca-IT	script/Hans	simplificat	han simplificat	DEFECT	TODO: explain this divergence or reclassify it
display-names	ca-IT	script/Hant	tradicional	han tradicional	DEFECT	TODO: explain this divergence or reclassify it
display-names	ccp	script/Hans	𑄅𑄪𑄎𑄪𑄅𑄪𑄏𑄫	𑄅𑄪𑄎𑄪𑄅𑄪𑄏𑄪 𑄦𑄳𑄠𑄚𑄴	DEFECT	TODO: explain this divergence or reclassify it
display-names	ccp	script/Hant	𑄢𑄨𑄘𑄨𑄥𑄪𑄘𑄮𑄟𑄴	𑄢𑄨𑄘𑄨𑄥𑄪𑄘𑄮𑄟𑄴 𑄦𑄳𑄠𑄚𑄴	DEFECT	TODO: explain this divergence or reclassify it
display-names	ccp-BD	script/Hans	𑄅𑄪𑄎𑄪𑄅𑄪𑄏𑄫	𑄅𑄪𑄎𑄪𑄅𑄪𑄏𑄪 𑄦𑄳𑄠𑄚𑄴	DEFECT	TODO: explain this divergence or reclassify it
display-names	ccp-BD	script/Hant	𑄢𑄨𑄘𑄨𑄥𑄪𑄘𑄮𑄟𑄴	𑄢𑄨𑄘𑄨𑄥𑄪𑄘𑄮𑄟𑄴 𑄦𑄳𑄠𑄚𑄴	DEFECT	TODO: explain this divergence or reclassify it
display-names	ccp-IN	script/Hans	𑄅𑄪𑄎𑄪𑄅𑄪𑄏𑄫	𑄅𑄪𑄎𑄪𑄅𑄪𑄏𑄪 𑄦𑄳𑄠𑄚𑄴	DEFECT	TODO: explain this divergence or reclassify it
display-names	ccp-IN	script/Hant	𑄢𑄨𑄘𑄨𑄥𑄪𑄘𑄮𑄟𑄴	𑄢𑄨𑄘𑄨𑄥𑄪𑄘𑄮𑄟𑄴 𑄦𑄳𑄠𑄚𑄴	DEFECT	TODO: explain this divergence or reclassify it
display-names	ceb	script/Hans	Pinasimple	Pinasimple nga Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	ceb	script/Hant	Tradisyonal	Tradisyonal nga Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	ceb-PH	script/Hans	Pinasimple	Pinasimple nga Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	ceb-PH	script/Hant	Tradisyonal	Tradisyonal nga Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	chr	script/Hans	ᎠᎯᏗᎨ	ᎠᎯᏗᎨ ᎭᏂ	DEFECT	TODO: explain this divergence or reclassify it
display-names	chr	script/Hant	ᎤᏦᏍᏗ	ᎤᏦᏍᏗ ᎭᏂ	DEFECT	TODO: explain this divergence or reclassify it
display-names	chr-US	script/Hans	ᎠᎯᏗᎨ	ᎠᎯᏗᎨ ᎭᏂ	DEFECT	TODO: explain this divergence or reclassify it
display-names	chr-US	script/Hant	ᎤᏦᏍᏗ	ᎤᏦᏍᏗ ᎭᏂ	DEFECT	TODO: explain this divergence or reclassify it
display-names	ckb	script/Hans	ئاسانکراو	هانی ئاسانکراو	DEFECT	TODO: explain this divergence or reclassify it
display-names	ckb	script/Hant	دێرین	هانی دێرین	DEFECT	TODO: explain this divergence or reclassify it
display-names	ckb-IQ	script/Hans	ئاسانکراو	هانی ئاسانکراو	DEFECT	TODO: explain this divergence or reclassify it
display-names	ckb-IQ	script/Hant	دێرین	هانی دێرین	DEFECT	TODO: explain this divergence or reclassify it
display-names	ckb-IR	script/Hans	ئاسانکراو	هانی ئاسانکراو	DEFECT	TODO: explain this divergence or reclassify it
display-names	ckb-IR	script/Hant	دێرین	هانی دێرین	DEFECT	TODO: explain this divergence or reclassify it
display-names	cs	script/Hans	zjednodušené	han (zjednodušené)	DEFECT	TODO: explain this divergence or reclassify it
display-names	cs	script/Hant	tradiční	han (tradiční)	DEFECT	TODO: explain this divergence or reclassify it
display-names	cs-CZ	script/Hans	zjednodušené	han (zjednodušené)	DEFECT	TODO: explain this divergence or reclassify it
display-names	cs-CZ	script/Hant	tradiční	han (tradiční)	DEFECT	TODO: explain this divergence or reclassify it
display-names	cy	script/Hans	Symledig	Han symledig	DEFECT	TODO: explain this divergence or reclassify it
display-names	cy	script/Hant	Traddodiadol	Han traddodiadol	DEFECT	TODO: explain this divergence or reclassify it
display-names	cy-GB	script/Hans	Symledig	Han symledig	DEFECT	TODO: explain this divergence or reclassify it
display-names	cy-GB	script/Hant	Traddodiadol	Han traddodiadol	DEFECT	TODO: explain this divergence or reclassify it
display-names	da	script/Hans	forenklet	forenklet han	DEFECT	TODO: explain this divergence or reclassify it
display-names	da	script/Hant	traditionelt	traditionelt han	DEFECT	TODO: explain this divergence or reclassify it
display-names	da-DK	script/Hans	forenklet	forenklet han	DEFECT	TODO: explain this divergence or reclassify it
display-names	da-DK	script/Hant	traditionelt	traditionelt han	DEFECT	TODO: explain this divergence or reclassify it
display-names	da-GL	script/Hans	forenklet	forenklet han	DEFECT	TODO: explain this divergence or reclassify it
display-names	da-GL	script/Hant	traditionelt	traditionelt han	DEFECT	TODO: explain this divergence or reclassify it
display-names	de	script/Hans	Vereinfacht	Vereinfachtes Chinesisch	DEFECT	TODO: explain this divergence or reclassify it
display-names	de	script/Hant	Traditionell	Traditionelles Chinesisch	DEFECT	TODO: explain this divergence or reclassify it
display-names	de-AT	script/Hans	Vereinfacht	Vereinfachtes Chinesisch	DEFECT	TODO: explain this divergence or reclassify it
display-names	de-AT	script/Hant	Traditionell	Traditionelles Chinesisch	DEFECT	TODO: explain this divergence or reclassify it
display-names	de-BE	script/Hans	Vereinfacht	Vereinfachtes Chinesisch	DEFECT	TODO: explain this divergence or reclassify it
display-names	de-BE	script/Hant	Traditionell	Traditionelles Chinesisch	DEFECT	TODO: explain this divergence or reclassify it
display-names	de-CH	script/Hans	Vereinfacht	Vereinfachtes Chinesisch	DEFECT	TODO: explain this divergence or reclassify it
display-names	de-CH	script/Hant	Traditionell	Traditionelles Chinesisch	DEFECT	TODO: explain this divergence or reclassify it
display-names	de-DE	script/Hans	Vereinfacht	Vereinfachtes Chinesisch	DEFECT	TODO: explain this divergence or reclassify it
display-names	de-DE	script/Hant	Traditionell	Traditionelles Chinesisch	DEFECT	TODO: explain this divergence or reclassify it
display-names	de-IT	script/Hans	Vereinfacht	Vereinfachtes Chinesisch	DEFECT	TODO: explain this divergence or reclassify it
display-names	de-IT	script/Hant	Traditionell	Traditionelles Chinesisch	DEFECT	TODO: explain this divergence or reclassify it
display-names	de-LI	script/Hans	Vereinfacht	Vereinfachtes Chinesisch	DEFECT	TODO: explain this divergence or reclassify it
display-names	de-LI	script/Hant	Traditionell	Traditionelles Chinesisch	DEFECT	TODO: explain this divergence or reclassify it
display-names	de-LU	script/Hans	Vereinfacht	Vereinfachtes Chinesisch	DEFECT	TODO: explain this divergence or reclassify it
display-names	de-LU	script/Hant	Traditionell	Traditionelles Chinesisch	DEFECT	TODO: explain this divergence or reclassify it
display-names	doi	script/Hans	सरलीकृत	सरलीकृत हान	DEFECT	TODO: explain this divergence or reclassify it
display-names	doi	script/Hant	रवायती	रवायती हान	DEFECT	TODO: explain this divergence or reclassify it
display-names	doi-IN	script/Hans	सरलीकृत	सरलीकृत हान	DEFECT	TODO: explain this divergence or reclassify it
display-names	doi-IN	script/Hant	रवायती	रवायती हान	DEFECT	TODO: explain this divergence or reclassify it
display-names	dsb	script/Hans	zjadnorjone	zjadnorjone han	DEFECT	TODO: explain this divergence or reclassify it
display-names	dsb	script/Hant	tradionalne	tradicionalne han	DEFECT	TODO: explain this divergence or reclassify it
display-names	dsb-DE	script/Hans	zjadnorjone	zjadnorjone han	DEFECT	TODO: explain this divergence or reclassify it
display-names	dsb-DE	script/Hant	tradionalne	tradicionalne han	DEFECT	TODO: explain this divergence or reclassify it
display-names	ee	script/Hans	Chinesegbeŋɔŋlɔ	Hansgbeŋɔŋlɔ	DEFECT	TODO: explain this divergence or reclassify it
display-names	ee	script/Hant	Blema Chinesegbeŋɔŋlɔ	Blema Hantgbeŋcŋlɔ	DEFECT	TODO: explain this divergence or reclassify it
display-names	ee-GH	script/Hans	Chinesegbeŋɔŋlɔ	Hansgbeŋɔŋlɔ	DEFECT	TODO: explain this divergence or reclassify it
display-names	ee-GH	script/Hant	Blema Chinesegbeŋɔŋlɔ	Blema Hantgbeŋcŋlɔ	DEFECT	TODO: explain this divergence or reclassify it
display-names	ee-TG	script/Hans	Chinesegbeŋɔŋlɔ	Hansgbeŋɔŋlɔ	DEFECT	TODO: explain this divergence or reclassify it
display-names	ee-TG	script/Hant	Blema Chinesegbeŋɔŋlɔ	Blema Hantgbeŋcŋlɔ	DEFECT	TODO: explain this divergence or reclassify it
display-names	el	script/Hans	Απλοποιημένο	Απλοποιημένο Χαν	DEFECT	TODO: explain this divergence or reclassify it
display-names	el	script/Hant	Παραδοσιακό	Παραδοσιακό Χαν	DEFECT	TODO: explain this divergence or reclassify it
display-names	el-CY	script/Hans	Απλοποιημένο	Απλοποιημένο Χαν	DEFECT	TODO: explain this divergence or reclassify it
display-names	el-CY	script/Hant	Παραδοσιακό	Παραδοσιακό Χαν	DEFECT	TODO: explain this divergence or reclassify it
display-names	el-GR	script/Hans	Απλοποιημένο	Απλοποιημένο Χαν	DEFECT	TODO: explain this divergence or reclassify it
display-names	el-GR	script/Hant	Παραδοσιακό	Παραδοσιακό Χαν	DEFECT	TODO: explain this divergence or reclassify it
display-names	en	script/Hans	Simplified	Simplified Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en	script/Hant	Traditional	Traditional Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-001	script/Hans	Simplified	Simplified Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-001	script/Hant	Traditional	Traditional Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-150	script/Hans	Simplified	Simplified Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-150	script/Hant	Traditional	Traditional Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-AE	script/Hans	Simplified	Simplified Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-AE	script/Hant	Traditional	Traditional Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-AG	script/Hans	Simplified	Simplified Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-AG	script/Hant	Traditional	Traditional Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-AI	script/Hans	Simplified	Simplified Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-AI	script/Hant	Traditional	Traditional Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-AS	script/Hans	Simplified	Simplified Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-AS	script/Hant	Traditional	Traditional Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-AT	script/Hans	Simplified	Simplified Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-AT	script/Hant	Traditional	Traditional Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-AU	script/Hans	Simplified	Simplified Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-AU	script/Hant	Traditional	Traditional Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-BB	script/Hans	Simplified	Simplified Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-BB	script/Hant	Traditional	Traditional Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-BE	script/Hans	Simplified	Simplified Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-BE	script/Hant	Traditional	Traditional Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-BI	script/Hans	Simplified	Simplified Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-BI	script/Hant	Traditional	Traditional Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-BM	script/Hans	Simplified	Simplified Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-BM	script/Hant	Traditional	Traditional Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-BS	script/Hans	Simplified	Simplified Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-BS	script/Hant	Traditional	Traditional Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-BW	script/Hans	Simplified	Simplified Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-BW	script/Hant	Traditional	Traditional Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-BZ	script/Hans	Simplified	Simplified Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-BZ	script/Hant	Traditional	Traditional Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-CA	script/Hans	Simplified	Simplified Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	en-CA	script/Hant	Traditional	Traditional Han	DEFECT	TODO: explain this divergence or reclassify it
