# GENERATED by ./gradlew :conformance-icu:updateLedger. Reviewed by hand.
# icu=release-78.3  cldr=release-48-2
#
# Every row is a case where this library and ICU disagree and the
# disagreement is expected. A new one fails the build; a row that stops
# reproducing fails too. An ICU version bump regenerates this file, and
# the diff is the point rather than a nuisance.
#
# domain	locale	case	ours	icu	divergence	note
relative-time	cy	SHORT/SECOND/0	ymhen 0 eil.	ymhen 0 eiliad	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	cy	SHORT/SECOND/2	ymhen 2 eil.	ymhen 2 eiliad	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	cy	SHORT/WEEK/0	ymhen 0 ws.	ymhen 0 wythnos	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	cy-GB	NARROW/MINUTE/0	ymhen 0 mun.	ymhen 0 munud	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	cy-GB	NARROW/QUARTER/0	ymhen 0 chw.	ymhen 0 chwarter	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	cy-GB	NARROW/QUARTER/2	ymhen 2 chw.	ymhen 2 chwarter	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	cy-GB	NARROW/WEEK/0	ymhen 0 ws.	ymhen 0 wythnos	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	cy-GB	SHORT/MINUTE/0	ymhen 0 mun.	ymhen 0 munud	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	cy-GB	SHORT/QUARTER/0	ymhen 0 chw.	ymhen 0 chwarter	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	cy-GB	SHORT/QUARTER/2	ymhen 2 chw.	ymhen 2 chwarter	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	cy-GB	SHORT/SECOND/-2	2 eil. yn ôl	2 eiliad yn ôl	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	cy-GB	SHORT/SECOND/0	ymhen 0 eil.	ymhen 0 eiliad	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	cy-GB	SHORT/SECOND/2	ymhen 2 eil.	ymhen 2 eiliad	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	cy-GB	SHORT/WEEK/0	ymhen 0 ws.	ymhen 0 wythnos	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	fil	SHORT/DAY/-1	1 (na) araw ang nakalipas	1 araw ang nakalipas	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	fil	SHORT/DAY/-2	2 (na) araw ang nakalipas	2 araw ang nakalipas	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	fil	SHORT/HOUR/0	sa 0 (na) oras	sa 0 oras	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	fil	SHORT/HOUR/1	sa 1 (na) oras	sa 1 oras	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	fil	SHORT/HOUR/2	sa 2 (na) oras	sa 2 oras	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	fil	SHORT/WEEK/-1	1 (na) linggo ang nakalipas	1 linggo ang nakalipas	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	fil	SHORT/WEEK/-2	2 (na) linggo ang nakalipas	2 linggo ang nakalipas	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	fil-PH	SHORT/DAY/-1	1 (na) araw ang nakalipas	1 araw ang nakalipas	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	fil-PH	SHORT/DAY/-2	2 (na) araw ang nakalipas	2 araw ang nakalipas	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	fil-PH	SHORT/HOUR/0	sa 0 (na) oras	sa 0 oras	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	fil-PH	SHORT/HOUR/1	sa 1 (na) oras	sa 1 oras	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	fil-PH	SHORT/HOUR/2	sa 2 (na) oras	sa 2 oras	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	fil-PH	SHORT/WEEK/-1	1 (na) linggo ang nakalipas	1 linggo ang nakalipas	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	fil-PH	SHORT/WEEK/-2	2 (na) linggo ang nakalipas	2 linggo ang nakalipas	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	hi	SHORT/QUARTER/-1	1 तिमाहियों पहले	1 तिमाही पहले	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	hi-IN	SHORT/QUARTER/-1	1 तिमाहियों पहले	1 तिमाही पहले	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	ur	NARROW/HOUR/1	1 گھنٹوں میں	1 گھنٹے میں	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	ur-IN	NARROW/HOUR/1	۱ گھنٹوں میں	۱ گھنٹے میں	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	ur-IN	NARROW/WEEK/0	۰ ہفتوں میں	۰ ہفتے میں	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	ur-IN	NARROW/WEEK/2	۲ ہفتوں میں	۲ ہفتے میں	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	ur-IN	NARROW/YEAR/-1	۱ سالوں پہلے	۱ سال پہلے	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	ur-IN	SHORT/WEEK/0	۰ ہفتوں میں	۰ ہفتے میں	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	ur-IN	SHORT/WEEK/2	۲ ہفتوں میں	۲ ہفتے میں	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	ur-IN	SHORT/YEAR/-1	۱ سالوں پہلے	۱ سال پہلے	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
relative-time	ur-PK	NARROW/HOUR/1	1 گھنٹوں میں	1 گھنٹے میں	DELIBERATE	The plural category asked for is absent at every width, so both sides fall back to count=other, and they take it from opposite ends. This library takes it from the narrowest width that has one, ICU from the widest. Akan is the case that decides it: week-narrow writes its own other with a space and the wide field writes one without, and ICU returns the wide value for a narrow request. Keeping the width that was asked for is the deliberate choice.
