# GENERATED by ./gradlew :conformance-icu:updateLedger. Reviewed by hand.
# icu=release-78.3  cldr=release-48-2
#
# Every row is a case where this library and ICU disagree and the
# disagreement is expected. A new one fails the build; a row that stops
# reproducing fails too. An ICU version bump regenerates this file, and
# the diff is the point rather than a nuisance.
#
# domain	locale	case	ours	icu	divergence	note
duration-units	sr-Cyrl-ME	DAY/NARROW/2	2 д	2 d	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	DAY/NARROW/5	5 д	5 d	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	DAY/NARROW/name	д	d	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	DAY/SHORT/1	1 дан	1 dan	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	DAY/SHORT/2	2 дана	2 dana	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	DAY/SHORT/5	5 дана	5 dana	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	DAY/SHORT/name	д.	d.	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	DECADE/LONG/1	1 деценија	1 decenija	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	DECADE/LONG/2	2 деценије	2 decenije	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	DECADE/LONG/5	5 деценија	5 decenija	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	DECADE/LONG/name	деценије	decenije	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	DECADE/NARROW/1	1 дец.	1 dec.	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	DECADE/NARROW/2	2 дец.	2 dec.	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	DECADE/NARROW/5	5 дец.	5 dec.	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	DECADE/NARROW/name	дец.	dec.	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	DECADE/SHORT/1	1 дец.	1 dec.	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	DECADE/SHORT/2	2 дец.	2 dec.	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	DECADE/SHORT/5	5 дец.	5 dec.	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	DECADE/SHORT/name	дец.	dec.	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	HOUR/LONG/1	1 сат	1 sat	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	HOUR/LONG/2	2 сата	2 sata	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	HOUR/LONG/5	5 сати	5 sati	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	HOUR/LONG/name	сати	sati	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	HOUR/NARROW/1	1 ч	1 č	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	HOUR/NARROW/2	2 ч	2 č	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	HOUR/NARROW/5	5 ч	5 č	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	HOUR/NARROW/name	ч	č	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	HOUR/SHORT/1	1 сат	1 sat	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	HOUR/SHORT/2	2 сата	2 sata	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	HOUR/SHORT/5	5 сати	5 sati	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	HOUR/SHORT/name	сати	sati	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MICROSECOND/LONG/1	1 микросекунда	1 mikrosekunda	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MICROSECOND/LONG/2	2 микросекунде	2 mikrosekunde	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MICROSECOND/LONG/5	5 микросекунди	5 mikrosekundi	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MICROSECOND/LONG/name	микросекунде	mikrosekunde	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MILLISECOND/LONG/1	1 милисекунда	1 milisekunda	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MILLISECOND/LONG/2	2 милисекунде	2 milisekunde	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MILLISECOND/LONG/5	5 милисекунди	5 milisekundi	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MILLISECOND/LONG/name	милисекунде	milisekunde	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MINUTE/LONG/1	1 минут	1 minut	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MINUTE/LONG/2	2 минута	2 minuta	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MINUTE/LONG/5	5 минута	5 minuta	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MINUTE/LONG/name	минути	minuti	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MINUTE/NARROW/1	1 м	1 m	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MINUTE/NARROW/2	2 м	2 m	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MINUTE/NARROW/5	5 м	5 m	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MINUTE/NARROW/name	мин	min	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MINUTE/SHORT/1	1 мин	1 min	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MINUTE/SHORT/2	2 мин	2 min	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MINUTE/SHORT/5	5 мин	5 min	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MINUTE/SHORT/name	мин	min	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MONTH/LONG/1	1 месец	1 mesec	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MONTH/LONG/2	2 месеца	2 meseca	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MONTH/LONG/5	5 месеци	5 meseci	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MONTH/LONG/name	месеци	meseci	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MONTH/NARROW/1	1 м	1 m	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MONTH/NARROW/2	2 м	2 m	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MONTH/NARROW/5	5 м	5 m	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MONTH/NARROW/name	м.	m.	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MONTH/SHORT/1	1 мес.	1 mes.	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MONTH/SHORT/2	2 мес.	2 mes.	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MONTH/SHORT/5	5 мес.	5 mes.	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	MONTH/SHORT/name	месеци	meseci	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	NANOSECOND/LONG/1	1 наносекунда	1 nanosekunda	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	NANOSECOND/LONG/2	2 наносекунде	2 nanosekunde	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	NANOSECOND/LONG/5	5 наносекунди	5 nanosekundi	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	NANOSECOND/LONG/name	наносекунде	nanosekunde	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	NIGHT/LONG/1	1 ноћ	1 noć	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	NIGHT/LONG/2	2 ноћи	2 noći	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	NIGHT/LONG/5	5 ноћи	5 noći	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	NIGHT/LONG/name	ноћ	noć	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	NIGHT/NARROW/1	1 ноћ	1 noć	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	NIGHT/NARROW/2	2 ноћи	2 noći	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	NIGHT/NARROW/5	5 ноћи	5 noći	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	NIGHT/NARROW/name	ноћ	noć	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	NIGHT/SHORT/1	1 ноћ	1 noć	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	NIGHT/SHORT/2	2 ноћи	2 noći	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	NIGHT/SHORT/5	5 ноћи	5 noći	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	NIGHT/SHORT/name	ноћ	noć	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	QUARTER/LONG/1	1 квартал	1 kvartal	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	QUARTER/LONG/2	2 квартала	2 kvartala	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	QUARTER/LONG/5	5 квартала	5 kvartala	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	QUARTER/LONG/name	квартали	kvartali	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	QUARTER/NARROW/1	1 к	1 k	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	QUARTER/NARROW/2	2 к	2 k	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	QUARTER/NARROW/5	5 к	5 k	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	QUARTER/NARROW/name	кв	kv	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	QUARTER/SHORT/1	1 кв	1 kv	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	QUARTER/SHORT/2	2 кв	2 kv	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	QUARTER/SHORT/5	5 кв	5 kv	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	QUARTER/SHORT/name	кв	kv	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	SECOND/LONG/1	1 секунда	1 sekunda	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	SECOND/LONG/2	2 секунде	2 sekunde	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	SECOND/LONG/5	5 секунди	5 sekundi	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	SECOND/LONG/name	секунде	sekunde	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	SECOND/NARROW/1	1 с	1 s	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	SECOND/NARROW/2	2 с	2 s	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	SECOND/NARROW/5	5 с	5 s	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	SECOND/NARROW/name	с	s	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	SECOND/SHORT/1	1 сек	1 sek	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	SECOND/SHORT/2	2 сек	2 sek	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	SECOND/SHORT/5	5 сек	5 sek	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	SECOND/SHORT/name	сек	sek	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	WEEK/LONG/1	1 недеља	1 nedelja	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	WEEK/LONG/2	2 недеље	2 nedelje	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	WEEK/LONG/5	5 недеља	5 nedelja	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	WEEK/LONG/name	недеље	nedelje	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	WEEK/NARROW/1	1 н	1 n	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	WEEK/NARROW/2	2 н	2 n	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	WEEK/NARROW/5	5 н	5 n	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	WEEK/NARROW/name	н.	n.	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	WEEK/SHORT/1	1 нед.	1 ned.	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	WEEK/SHORT/2	2 нед.	2 ned.	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	WEEK/SHORT/5	5 нед.	5 ned.	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	WEEK/SHORT/name	нед.	ned.	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	YEAR/LONG/1	1 година	1 godina	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	YEAR/LONG/2	2 године	2 godine	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	YEAR/LONG/5	5 година	5 godina	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	YEAR/LONG/name	године	godine	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	YEAR/NARROW/1	1 г	1 g	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	YEAR/NARROW/2	2 г	2 g	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	YEAR/NARROW/5	5 г	5 g	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	YEAR/NARROW/name	г.	g.	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	YEAR/SHORT/1	1 год	1 god	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	YEAR/SHORT/2	2 год.	2 god.	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	YEAR/SHORT/5	5 год.	5 god.	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	YEAR/SHORT/name	год.	god.	DEFECT	TODO: explain this divergence or reclassify it
