# GENERATED by ./gradlew :conformance-icu:updateLedger. Reviewed by hand.
# icu=release-78.3  cldr=release-48-2
#
# Every row is a case where this library and ICU disagree and the
# disagreement is expected. A new one fails the build; a row that stops
# reproducing fails too. An ICU version bump regenerates this file, and
# the diff is the point rather than a nuisance.
#
# domain	locale	case	ours	icu	divergence	note
timezone-names	sr-Cyrl-ME	America/Araguaina/STANDARD_LONG	Бразилија, стандардно време	Brazilija, standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Argentina/La_Rioja/DAYLIGHT_LONG	Аргентина, летње време	Argentina, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Argentina/La_Rioja/GENERIC_LONG	Аргентина време	Argentina vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Argentina/La_Rioja/STANDARD_LONG	Аргентина, стандардно време	Argentina, standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Asuncion/DAYLIGHT_LONG	Парагвај, летње време	Paragvaj, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Asuncion/GENERIC_LONG	Парагвај време	Paragvaj vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Asuncion/STANDARD_LONG	Парагвај, стандардно време	Paragvaj, standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Bahia_Banderas/DAYLIGHT_LONG	Северноамеричко централно летње време	Severnoameričko centralno letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Bahia_Banderas/GENERIC_LONG	Северноамеричко централно време	Severnoameričko centralno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Bahia_Banderas/STANDARD_LONG	Северноамеричко централно стандардно време	Severnoameričko centralno standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Boa_Vista/DAYLIGHT_LONG	Амазон, летње време	Amazon, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Boa_Vista/GENERIC_LONG	Амазон време	Amazon vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Boa_Vista/STANDARD_LONG	Амазон, стандардно време	Amazon, standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Bogota/DAYLIGHT_LONG	Колумбија, летње време	Kolumbija, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Bogota/GENERIC_LONG	Колумбија време	Kolumbija vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Bogota/STANDARD_LONG	Колумбија, стандардно време	Kolumbija, standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Boise/DAYLIGHT_LONG	Северноамеричко планинско летње време	Severnoameričko planinsko letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Boise/GENERIC_LONG	Северноамеричко планинско време	Severnoameričko planinsko vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Boise/STANDARD_LONG	Северноамеричко планинско стандардно време	Severnoameričko planinsko standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Cancun/DAYLIGHT_LONG	Северноамеричко источно летње време	Severnoameričko istočno letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Cancun/GENERIC_LONG	Северноамеричко источно време	Severnoameričko istočno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Cancun/STANDARD_LONG	Северноамеричко источно стандардно време	Severnoameričko istočno standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Caracas/STANDARD_LONG	Венецуела време	Venecuela vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Cayenne/STANDARD_LONG	Француска Гвајана време	Francuska Gvajana vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Dawson/STANDARD_LONG	Јукон	Jukon	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Eirunepe/DAYLIGHT_LONG	Акре летње рачунање времена	Akre letnje računanje vremena	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Eirunepe/GENERIC_LONG	Акре време	Akre vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Eirunepe/STANDARD_LONG	Акре стандардно време	Akre standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Guayaquil/STANDARD_LONG	Еквадор време	Ekvador vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Guyana/STANDARD_LONG	Гвајана време	Gvajana vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Havana/DAYLIGHT_LONG	Куба, летње време	Kuba, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Havana/GENERIC_LONG	Куба	Kuba	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Havana/STANDARD_LONG	Куба, стандардно време	Kuba, standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Hermosillo/DAYLIGHT_LONG	Мексички Пацифик, летње време	Meksički Pacifik, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Hermosillo/GENERIC_LONG	Мексички Пацифик	Meksički Pacifik	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Hermosillo/STANDARD_LONG	Мексички Пацифик, стандардно време	Meksički Pacifik, standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/La_Paz/STANDARD_LONG	Боливија време	Bolivija vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Lima/DAYLIGHT_LONG	Перу, летње време	Peru, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Lima/GENERIC_LONG	Перу време	Peru vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Lima/STANDARD_LONG	Перу, стандардно време	Peru, standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Los_Angeles/DAYLIGHT_LONG	Северноамеричко пацифичко летње време	Severnoameričko pacifičko letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Los_Angeles/GENERIC_LONG	Северноамеричко пацифичко време	Severnoameričko pacifičko vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Los_Angeles/STANDARD_LONG	Северноамеричко пацифичко стандардно време	Severnoameričko pacifičko standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Miquelon/DAYLIGHT_LONG	Сен Пјер и Микелон, летње време	Sen Pjer i Mikelon, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Miquelon/GENERIC_LONG	Сен Пјер и Микелон	Sen Pjer i Mikelon	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Miquelon/STANDARD_LONG	Сен Пјер и Микелон, стандардно време	Sen Pjer i Mikelon, standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Montevideo/DAYLIGHT_LONG	Уругвај, летње време	Urugvaj, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Montevideo/GENERIC_LONG	Уругвај време	Urugvaj vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Montevideo/STANDARD_LONG	Уругвај, стандардно време	Urugvaj, standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Noronha/DAYLIGHT_LONG	Фернандо де Нороња, летње време	Fernando de Noronja, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Noronha/GENERIC_LONG	Фернандо де Нороња време	Fernando de Noronja vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Noronha/STANDARD_LONG	Фернандо де Нороња, стандардно време	Fernando de Noronja, standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Paramaribo/STANDARD_LONG	Суринам време	Surinam vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Santiago/DAYLIGHT_LONG	Чиле, летње време	Čile, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Santiago/GENERIC_LONG	Чиле време	Čile vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Santiago/STANDARD_LONG	Чиле, стандардно време	Čile, standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/St_Johns/DAYLIGHT_LONG	Њуфаундленд, летње време	Njufaundlend, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/St_Johns/GENERIC_LONG	Њуфаундленд	Njufaundlend	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/St_Johns/STANDARD_LONG	Њуфаундленд, стандардно време	Njufaundlend, standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Antarctica/Casey/DAYLIGHT_LONG	Аустралијско западно летње време	Australijsko zapadno letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Antarctica/Casey/GENERIC_LONG	Аустралијско западно време	Australijsko zapadno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Antarctica/Casey/STANDARD_LONG	Аустралијско западно стандардно време	Australijsko zapadno standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Antarctica/Davis/STANDARD_LONG	Дејвис време	Dejvis vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Antarctica/DumontDUrville/STANDARD_LONG	Димон д’Урвил време	Dimon d’Urvil vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Antarctica/Macquarie/DAYLIGHT_LONG	Аустралијско источно летње време	Australijsko istočno letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Antarctica/Macquarie/GENERIC_LONG	Аустралијско источно време	Australijsko istočno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Antarctica/Macquarie/STANDARD_LONG	Аустралијско источно стандардно време	Australijsko istočno standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Antarctica/Mawson/STANDARD_LONG	Мосон време	Moson vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Antarctica/McMurdo/DAYLIGHT_LONG	Нови Зеланд, летње време	Novi Zeland, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Antarctica/McMurdo/GENERIC_LONG	Нови Зеланд време	Novi Zeland vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Antarctica/McMurdo/STANDARD_LONG	Нови Зеланд, стандардно време	Novi Zeland, standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Antarctica/Rothera/STANDARD_LONG	Ротера време	Rotera vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Antarctica/Syowa/STANDARD_LONG	Шова време	Šova vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Antarctica/Vostok/STANDARD_LONG	Восток време	Vostok vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Aden/DAYLIGHT_LONG	Арабијско летње време	Arabijsko letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Aden/GENERIC_LONG	Арабијско време	Arabijsko vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Aden/STANDARD_LONG	Арабијско стандардно време	Arabijsko standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Almaty/STANDARD_LONG	Казахстанско време	Kazahstansko vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Anadyr/DAYLIGHT_LONG	Петропавловско-камчатско летње рачунање времена	Petropavlovsko-kamčatsko letnje računanje vremena	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Anadyr/GENERIC_LONG	Петропавловско-камчатско време	Petropavlovsko-kamčatsko vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Anadyr/STANDARD_LONG	Петропавловско-камчатско стандардно време	Petropavlovsko-kamčatsko standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Ashgabat/DAYLIGHT_LONG	Туркменистан, летње време	Turkmenistan, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Ashgabat/GENERIC_LONG	Туркменистан време	Turkmenistan vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Ashgabat/STANDARD_LONG	Туркменистан, стандардно време	Turkmenistan, standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Baku/DAYLIGHT_LONG	Азербејџан, летње време	Azerbejdžan, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Baku/GENERIC_LONG	Азербејџан време	Azerbejdžan vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Baku/STANDARD_LONG	Азербејџан, стандардно време	Azerbejdžan, standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Bangkok/STANDARD_LONG	Индокина време	Indokina vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Barnaul/DAYLIGHT_LONG	Краснојарск, летње време	Krasnojarsk, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Barnaul/GENERIC_LONG	Краснојарск време	Krasnojarsk vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Barnaul/STANDARD_LONG	Краснојарск, стандардно време	Krasnojarsk, standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Bishkek/STANDARD_LONG	Киргистан време	Kirgistan vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Brunei/STANDARD_LONG	Брунеј Дарусалум време	Brunej Darusalum vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Calcutta/STANDARD_LONG	Индијско стандардно време	Indijsko standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Chita/DAYLIGHT_LONG	Јакутск, летње време	Jakutsk, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Chita/GENERIC_LONG	Јакутск време	Jakutsk vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Chita/STANDARD_LONG	Јакутск, стандардно време	Jakutsk, standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Dhaka/DAYLIGHT_LONG	Бангладеш, летње време	Bangladeš, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Dhaka/GENERIC_LONG	Бангладеш време	Bangladeš vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Dhaka/STANDARD_LONG	Бангладеш, стандардно време	Bangladeš, standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Dili/STANDARD_LONG	Источни тимор време	Istočni timor vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Dubai/STANDARD_LONG	Заливско време	Zalivsko vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Dushanbe/STANDARD_LONG	Таџикистан време	Tadžikistan vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Hong_Kong/DAYLIGHT_LONG	Хонг Конг, летње време	Hong Kong, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Hong_Kong/GENERIC_LONG	Хонг Конг време	Hong Kong vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Hong_Kong/STANDARD_LONG	Хонг Конг, стандардно време	Hong Kong, standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Hovd/DAYLIGHT_LONG	Ховд, летње време	Hovd, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Hovd/GENERIC_LONG	Ховд време	Hovd vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Hovd/STANDARD_LONG	Ховд, стандардно време	Hovd, standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Irkutsk/DAYLIGHT_LONG	Иркуцк, летње време	Irkuck, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Irkutsk/GENERIC_LONG	Иркуцк време	Irkuck vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Irkutsk/STANDARD_LONG	Иркуцк, стандардно време	Irkuck, standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Jakarta/STANDARD_LONG	Западно-индонезијско време	Zapadno-indonezijsko vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Jayapura/STANDARD_LONG	Источно-индонезијско време	Istočno-indonezijsko vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Jerusalem/DAYLIGHT_LONG	Израелско летње време	Izraelsko letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Jerusalem/GENERIC_LONG	Израелско време	Izraelsko vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Jerusalem/STANDARD_LONG	Израелско стандардно време	Izraelsko standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Kabul/STANDARD_LONG	Авганистан време	Avganistan vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Karachi/DAYLIGHT_LONG	Пакистан, летње време	Pakistan, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Karachi/GENERIC_LONG	Пакистан време	Pakistan vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Karachi/STANDARD_LONG	Пакистан, стандардно време	Pakistan, standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Katmandu/STANDARD_LONG	Непал време	Nepal vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Kuala_Lumpur/STANDARD_LONG	Малезија време	Malezija vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Macau/DAYLIGHT_LONG	Кина, летње време	Kina, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Macau/GENERIC_LONG	Кина време	Kina vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Macau/STANDARD_LONG	Кинеско стандардно време	Kinesko standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Magadan/DAYLIGHT_LONG	Магадан, летње време	Magadan, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Magadan/GENERIC_LONG	Магадан време	Magadan vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Magadan/STANDARD_LONG	Магадан, стандардно време	Magadan, standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Makassar/STANDARD_LONG	Централно-индонезијско време	Centralno-indonezijsko vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Manila/DAYLIGHT_LONG	Филипини, летње време	Filipini, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Manila/GENERIC_LONG	Филипини време	Filipini vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Manila/STANDARD_LONG	Филипини, стандардно време	Filipini, standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Omsk/DAYLIGHT_LONG	Омск, летње време	Omsk, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Omsk/GENERIC_LONG	Омск време	Omsk vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Omsk/STANDARD_LONG	Омск, стандардно време	Omsk, standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Pyongyang/DAYLIGHT_LONG	Корејско летње време	Korejsko letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Pyongyang/GENERIC_LONG	Корејско време	Korejsko vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Pyongyang/STANDARD_LONG	Корејско стандардно време	Korejsko standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Rangoon/STANDARD_LONG	Мијанмар време	Mijanmar vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Asia/Samarkand/DAYLIGHT_LONG	Узбекистан, летње време	Uzbekistan, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
