# GENERATED by ./gradlew :conformance-icu:updateLedger. Reviewed by hand.
# icu=release-78.3  cldr=release-48-2
#
# Every row is a case where this library and ICU disagree and the
# disagreement is expected. A new one fails the build; a row that stops
# reproducing fails too. An ICU version bump regenerates this file, and
# the diff is the point rather than a nuisance.
#
# domain	locale	case	ours	icu	divergence	note
number-formats	hy-AM	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	hy-AM	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	ia	decimal/1234	1234	1.234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	ia	decimal/1234.5	1234,5	1.234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	ia-001	decimal/1234	1234	1.234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	ia-001	decimal/1234.5	1234,5	1.234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	ie	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	ie	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	ie-EE	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	ie-EE	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	it	decimal/1234	1234	1.234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	it	decimal/1234.5	1234,5	1.234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	it-CH	decimal/1234	1234	1'234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	it-CH	decimal/1234.5	1234.5	1'234.5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	it-IT	decimal/1234	1234	1.234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	it-IT	decimal/1234.5	1234,5	1.234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	it-SM	decimal/1234	1234	1.234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	it-SM	decimal/1234.5	1234,5	1.234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	it-VA	decimal/1234	1234	1.234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	it-VA	decimal/1234.5	1234,5	1.234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	ka	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	ka	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	ka-GE	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	ka-GE	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	lv	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	lv	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	lv-LV	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	lv-LV	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	pl	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	pl	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	pl-PL	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	pl-PL	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	pt-CH	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	pt-CH	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	pt-CV	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	pt-CV	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	pt-GQ	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	pt-GQ	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	pt-GW	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	pt-GW	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	pt-LU	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	pt-LU	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	pt-MO	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	pt-MO	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	pt-MZ	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	pt-MZ	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	pt-PT	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	pt-PT	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	pt-ST	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	pt-ST	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	pt-TL	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	pt-TL	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	ru-UA	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	ru-UA	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	sl	decimal/1234	1234	1.234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	sl	decimal/1234.5	1234,5	1.234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	sl-SI	decimal/1234	1234	1.234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	sl-SI	decimal/1234.5	1234,5	1.234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	sq	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	sq	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	sq-AL	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	sq-AL	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	sq-MK	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	sq-MK	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
number-formats	sq-XK	decimal/1234	1234	1 234	DEFECT	TODO: explain this divergence or reclassify it
number-formats	sq-XK	decimal/1234.5	1234,5	1 234,5	DEFECT	TODO: explain this divergence or reclassify it
